DateTime,X1,X2,X3,X4,Y
2021/12/31 23:00,2.186333333,13.76,0.0663,0.1547,521163.8354
2022/01/01 0:00,12.08766667,84.86,0.4914,0.741,2494531.367
2022/01/01 1:00,10.90366667,87.28,0.4719,0.8775,2117415.418
2022/01/01 2:00,10.14533333,88.58,0.4862,1.0231,1873545.038
2022/01/01 3:00,9.87,86.06,0.4381,1.1336,1766122.253
2022/01/01 4:00,10.25566667,82.3,0.4667,0.9581,1742158.709
2022/01/01 5:00,9.274666667,85.14,0.5226,0.9165,1804133.392
2022/01/01 6:00,9.142,84.66,0.4628,1.0127,1823448.835
2022/01/01 7:00,9.071,81.28,0.6916,0.923,1517293.899
2022/01/01 8:00,9.280333333,82.28,214.3648,75.2141,1702494.911
2022/01/01 9:00,9.358333333,83.16,1327.43,208.481,2057299.975
2022/01/01 10:00,13.096,75.664,2464.67,254.085,2433692.886
2022/01/01 11:00,21.63333333,61.674,3286.14,296.166,2656491.873
2022/01/01 12:00,30.52333333,63.234,3797.04,310.635,2712475.671
2022/01/01 13:00,31.44666667,61.872,3824.08,323.856,2732307.57
2022/01/01 14:00,31.47,61.218,3433.82,330.603,2695949.089
2022/01/01 15:00,31.01333333,64.224,2107.43,536.38,2621063.013
2022/01/01 16:00,30.98,63.918,1640.34,1765.92,2598855.418
2022/01/01 17:00,29.97333333,66.76,608.413,738.751,3331706.05
2022/01/01 18:00,27.37,73.344,14.1492,14.3572,3701798.202
2022/01/01 19:00,23.25666667,78.82,0.4966,0.78,3770796.684
2022/01/01 20:00,23.38333333,79.22,0.4563,0.7436,3759331.367
2022/01/01 21:00,24.05333333,77.68,0.442,0.8437,3557293.899
2022/01/01 22:00,25.25333333,74.348,0.5681,0.8359,3138241.747
2022/01/01 23:00,23.05666667,82.18,0.4576,0.8827,2628706.557
2022/01/02 0:00,21.31,88.1,0.5798,1.0244,2181972.38
2022/01/02 1:00,21.38,89.08,0.533,1.1479,1913931.873
2022/01/02 2:00,22.01,85.64,0.5291,1.1518,1770047.316
2022/01/02 3:00,20.96333333,89.92,0.5343,1.1193,1694025.038
2022/01/02 4:00,20.45666667,92.74,0.5564,1.0946,1707349.595
2022/01/02 5:00,19.31,94.4,0.5863,1.1245,1821073.139
2022/01/02 6:00,18.53666667,95.84,0.4732,1.1141,2041496.43
2022/01/02 7:00,19.17666667,95.36,0.6578,1.1375,1977765.797
2022/01/02 8:00,17.41333333,95.24,164.7204,85.4997,2193954.152
2022/01/02 9:00,20.05666667,96.5,1203.41,263.562,2144994.152
2022/01/02 10:00,26.68666667,79.806,2357.16,326.911,2380704.532
2022/01/02 11:00,30.32,61.926,3259.23,322.946,2554233.646
2022/01/02 12:00,30.34333333,64.718,3719.43,340.314,2688098.962
2022/01/02 13:00,30.72333333,64.27,3754.14,341.562,2638829.089
2022/01/02 14:00,31.13666667,61.13,3377.79,327.002,2572516.177
2022/01/02 15:00,30.87666667,63.282,2598.7,689.767,2613626.051
2022/01/02 16:00,30.42666667,67.188,1580.41,1745.12,2770112.127
2022/01/02 17:00,29.70666667,68.784,503.932,626.912,3586938.456
2022/01/02 18:00,28.19,73.744,13.9802,14.2571,3905385.038
2022/01/02 19:00,26.89666667,77.694,0.4329,0.7813,3880388.582
2022/01/02 20:00,26.84,75.994,0.4485,0.7384,3843307.063
2022/01/02 21:00,26.04666667,74.508,0.4953,0.7384,3626705.544
2022/01/02 22:00,25.74,76.878,0.5902,0.9061,3222940.481
2022/01/02 23:00,24.7,80.84,0.5096,0.949,2620649.848
2022/01/03 0:00,23.73,84.86,0.5135,1.1635,2175774.911
2022/01/03 1:00,23.97,80.78,0.5135,1.1661,1932834.152
2022/01/03 2:00,24.05333333,82.3,0.481,1.1713,1821073.139
2022/01/03 3:00,24.10333333,83.38,0.5915,1.2207,1736994.152
2022/01/03 4:00,22.51666667,86.32,0.5057,1.2142,1708382.507
2022/01/03 5:00,21.92333333,89.52,0.5694,1.0842,1842454.405
2022/01/03 6:00,21.76333333,87.86,0.5525,1.1947,2138899.975
2022/01/03 7:00,18.90666667,92.14,0.6097,1.2649,2111114.658
2022/01/03 8:00,16.99333333,95.52,163.449,90.2499,2273385.038
2022/01/03 9:00,19.78,95.66,1174.16,304.746,2595136.937
2022/01/03 10:00,27.54,81.768,2379,337.376,2880530.355
2022/01/03 11:00,30.05333333,72.366,3265.73,349.518,3033091.367
2022/01/03 12:00,30.55666667,70.792,3740.1,349.661,3141133.899
2022/01/03 13:00,30.93333333,69.798,3790.41,350.454,3053749.595
2022/01/03 14:00,30.8,71.26,3396.25,339.001,2952730.861
2022/01/03 15:00,30.78333333,72.284,2623.66,841.659,2939199.722
2022/01/03 16:00,30.24666667,74.212,1534.52,1733.42,2951388.076
2022/01/03 17:00,29.34333333,74.372,503.36,624.741,3669158.202
2022/01/03 18:00,26.49333333,83.04,14.9227,15.2594,4014667.063
2022/01/03 19:00,22.14666667,90.7,0.481,0.7423,3985022.506
2022/01/03 20:00,19.84333333,93.8,0.5668,0.7046,3955687.823
2022/01/03 21:00,18.45666667,94.54,0.4823,0.689,3691778.962
2022/01/03 22:00,17.69,94.74,0.455,0.7579,3227795.164
2022/01/03 23:00,16.98666667,95.4,0.4667,0.7319,2681075.165
2022/01/04 0:00,16.91666667,93.14,0.3861,0.8294,2270389.595
2022/01/04 1:00,16.44666667,92,0.5239,0.715,1998630.608
2022/01/04 2:00,15.83,91.88,0.5577,0.8385,1883047.822
2022/01/04 3:00,15.28666667,91.1,0.4953,0.9594,1821279.721
2022/01/04 4:00,12.69833333,95.44,0.4654,0.7722,1694438.202
2022/01/04 5:00,11.95266667,98.22,0.5382,0.9737,1898231.62
2022/01/04 6:00,10.78866667,98.96,0.39,0.9633,2151294.911
2022/01/04 7:00,10.79633333,98.68,0.6435,1.118,2115246.304
2022/01/04 8:00,9.85,98.96,185.107,92.6029,2279375.924
2022/01/04 9:00,10.85666667,96.9,1225.9,277.524,2575305.038
2022/01/04 10:00,14.189,91.56,2387.58,311.857,2768149.595
2022/01/04 11:00,19.87333333,84.8,3330.34,303.485,3040734.911
2022/01/04 12:00,26.59333333,72.404,3854.37,288.08,3135246.304
2022/01/04 13:00,32.47,63.06,3889.73,311.103,3033504.532
2022/01/04 14:00,34.87333333,58.472,3423.55,354.51,2967501.494
2022/01/04 15:00,34.47,66.248,2678.13,1051.921,2933931.873
2022/01/04 16:00,34.88666667,66.902,1549.34,1793.61,2888483.772
2022/01/04 17:00,32.24666667,74.014,471.64,584.584,3621644.279
2022/01/04 18:00,26.47666667,84.56,15.652,15.9783,4065176.43
2022/01/04 19:00,26.39,82.646,0.6227,0.6474,4004028.076
2022/01/04 20:00,26.65,76.016,0.4433,0.7488,3963744.532
2022/01/04 21:00,23.69333333,79.96,0.5044,0.8528,3703760.734
2022/01/04 22:00,21.08,85.16,0.5616,0.8333,3281713.139
2022/01/04 23:00,19.3,87.36,0.4953,0.9685,2713198.709
2022/01/05 0:00,17.79333333,88.86,0.5382,0.9113,2243017.443
2022/01/05 1:00,16.30666667,90.44,0.611,0.9399,1934176.937
2022/01/05 2:00,15.50333333,90.96,0.6084,1.0842,1852886.81
2022/01/05 3:00,15.00333333,88.68,0.5291,1.1856,1795766.81
2022/01/05 4:00,13.975,88.4,0.5824,0.9776,1786057.443
2022/01/05 5:00,14.115,85,0.4862,1.0465,1893067.064
2022/01/05 6:00,13.49166667,84.36,0.5187,0.9568,2121753.646
2022/01/05 7:00,12.06233333,90.1,0.6773,1.1765,2127847.823
2022/01/05 8:00,11.40066667,91.92,194.8869,93.1944,2288775.418
2022/01/05 9:00,12.898,81.904,1262.69,244.361,2592554.658
2022/01/05 10:00,17.34666667,71.622,2422.03,311.194,2829711.114
2022/01/05 11:00,23.59,67.158,3310.06,353.691,2984337.95
2022/01/05 12:00,30.41,65.4,3778.71,395.59,3072135.418
2022/01/05 13:00,33.64333333,64.046,3781.7,453.206,3070276.177
2022/01/05 14:00,35.4,61.168,3370.12,508.157,2973182.506
2022/01/05 15:00,36.40333333,57.304,2381.34,1221.48,2908522.253
2022/01/05 16:00,33.93666667,57.182,1366.04,1562.08,2901705.038
2022/01/05 17:00,31.58,64.23,339.157,394.342,3651185.544
2022/01/05 18:00,27.67333333,71.54,16.4242,17.3394,4105459.975
2022/01/05 19:00,24.58,79.012,0.4992,0.7917,4066209.342
2022/01/05 20:00,22.06333333,85.58,0.4342,0.8736,4017869.089
2022/01/05 21:00,22.80333333,90.48,0.4433,0.8892,3729273.646
2022/01/05 22:00,20.87,92.76,0.4823,0.9945,3344927.316
2022/01/05 23:00,18.72666667,94.9,0.4342,1.1687,2810395.671
2022/01/06 0:00,17.66,96.68,0.4524,1.0855,2364074.658
2022/01/06 1:00,16.88666667,97.8,0.5707,1.1765,2064220.481
2022/01/06 2:00,16.17666667,98.72,0.5486,1.1297,1908973.899
2022/01/06 3:00,16.56666667,98.48,0.4628,1.274,1878709.595
2022/01/06 4:00,15.99,100.12,0.4381,1.3299,1838426.051
2022/01/06 5:00,16.94,99.84,0.468,1.1102,1930665.038
